season,event,champion,games_contests,pick_ban_ratio,banned_games,played_games,played_by_number_of_players,win,lose,win_rate,kills,deaths,assists,kill_death_assist_ratio,creep_score,cs/min,gold,gold/min,damage,damage/min,kill_participation,kill_share,gold_share
3,Main,Elise,48,76.2,11,37,16,16,21,43.2,2.22,2.95,6.38,2.92,113.08,3.45,8.4,257,,,,,
3,Main,Sona,44,69.8,8,36,12,13,23,36.1,0.83,4.31,8.03,2.06,25,0.77,6.7,207,,,,,
3,Main,Orianna,41,65.1,20,21,10,12,9,57.1,3.14,2.71,6.48,3.54,261.1,8.93,11,378,,,,,
3,Main,Lee Sin,40,63.5,14,26,10,16,10,61.5,2.62,2.15,8,4.93,95.5,3,8.4,265,,,,,
3,Main,Thresh,40,63.5,22,18,9,9,9,50,1.33,3.72,8.78,2.72,21.72,0.69,6.7,214,,,,,
3,Main,Aatrox,36,57.1,16,20,8,12,8,60,2.35,2.45,5.9,3.37,140.75,4.67,8.6,286,,,,,
3,Main,Fizz,34,54,22,12,9,6,6,50,6.25,3.67,5.08,3.09,245.67,6.97,12.6,356,,,,,
3,Main,Renekton,32,50.8,11,21,8,14,7,66.7,2.48,1.95,5.52,4.1,228.86,7.14,10.7,333,,,,,
3,Main,Caitlyn,32,50.8,12,20,9,12,8,60,4.8,1.9,5.3,5.32,267.8,8.16,12.4,378,,,,,
3,Main,Vi,30,47.6,17,13,5,7,6,53.8,2.46,2.77,6.46,3.22,114.62,3.62,8.6,271,,,,,
3,Main,Jarvan IV,26,41.3,1,25,11,11,14,44,1.68,3.4,8.84,3.09,96.6,3.04,8,251,,,,,
3,Main,Ezreal,22,34.9,,22,12,11,11,50,5.27,2.45,5.27,4.3,237.86,7.77,11.6,378,,,,,
3,Main,Vayne,22,34.9,6,16,7,8,8,50,4,2.63,5.19,3.5,216.75,7.1,10.7,350,,,,,
3,Main,Kassadin,19,30.2,12,7,5,5,2,71.4,7.57,2.14,7.43,7,233.14,6.99,12.6,376,,,,,
3,Main,Gragas,18,28.6,2,16,9,7,9,43.8,2.69,1.75,3.69,3.64,287.06,8.62,11.8,354,,,,,
3,Main,Zac,17,27,2,15,6,7,8,46.7,2.07,2.2,6.2,3.76,190.53,6.35,9.2,307,,,,,
3,Main,Varus,15,23.8,,15,8,6,9,40,5.07,3.33,7,3.62,238,6.85,12,345,,,,,
3,Main,Kennen,15,23.8,9,6,5,2,4,33.3,0.83,4.67,4.83,1.21,191.5,5.87,9,277,,,,,
3,Main,Jax,14,22.2,4,10,4,7,3,70,3.9,2.6,4.1,3.08,204.8,6.53,10.9,349,,,,,
